NSW Recorded Crime Statistics April 2015-March 2020,,,,,,,,,
"Incidents of crime recorded by the NSW Police Force by Local Government Area: number, rates^ and trends^^",,,,,,,,,
,,,,,,,,,
Local Government Area,Offence type,Apr 2015 - Mar 2016,Apr 2016 - Mar 2017,Apr 2017 - Mar 2018,Apr 2018 - Mar 2019,Apr 2019 - Mar 2020,"Rate per 100,000 population Apr 2019 - Mar 2020",2 year trend and annual percent change (Apr 2018-Mar 2020),5 year trend and average annual percent change (Apr 2015-Mar 2020)
Armidale Regional,Break and enter dwelling,342,291,292,258,289,941.2,Stable,Stable
Armidale Regional,Break and enter non-dwelling,153,157,73,101,97,315.9,Stable,Stable
Armidale Regional,Receiving or handling stolen goods,34,49,42,42,36,117.2,Stable,Stable
Armidale Regional,Motor vehicle theft,105,63,64,68,93,302.9,Stable,Stable
Armidale Regional,Steal from motor vehicle,352,473,267,305,298,970.5,Stable,Stable
Armidale Regional,Steal from retail store,160,135,182,129,122,397.3,Stable,Stable
Armidale Regional,Steal from dwelling,141,168,164,140,128,416.8,Stable,Stable
Armidale Regional,Steal from person,15,18,22,12,11,35.8,nc,nc
Armidale Regional,Stock theft,14,18,8,8,12,39.1,nc,nc
Armidale Regional,Fraud,157,234,186,182,183,596,Stable,Stable
Armidale Regional,Other theft,129,145,142,131,130,423.4,Stable,Stable
Armidale Regional,Arson,33,79,60,65,95,309.4,Stable,Up 30.3%
Armidale Regional,Malicious damage to property,553,602,512,416,400,1302.6,Stable,Down 7.8%
Armidale Regional,Possession and/or use of cocaine,1,0,0,2,3,9.8,nc,nc
Armidale Regional,Possession and/or use of narcotics,0,0,0,1,1,3.3,nc,nc
Armidale Regional,Possession and/or use of cannabis,130,131,76,80,102,332.2,Stable,Stable
Armidale Regional,Possession and/or use of amphetamines,24,46,19,26,36,117.2,Stable,nc
Armidale Regional,Possession and/or use of ecstasy,1,4,5,1,4,13,nc,nc
Armidale Regional,Possession and/or use of other drugs,17,21,15,20,23,74.9,Stable,nc
Armidale Regional,"Dealing, trafficking in cocaine",0,0,0,1,0,nc,nc,nc
Armidale Regional,"Dealing, trafficking in narcotics",0,0,0,0,0,nc,nc,nc
Armidale Regional,"Dealing, trafficking in cannabis",9,3,2,4,4,13,nc,nc
Armidale Regional,"Dealing, trafficking in amphetamines",4,10,0,9,3,9.8,nc,nc
Armidale Regional,"Dealing, trafficking in ecstasy",0,1,0,7,0,nc,nc,nc
