NSW Recorded Crime Statistics April 2015-March 2020,,,,,,,,,
"Incidents of crime recorded by the NSW Police Force by Local Government Area: number, rates^ and trends^^",,,,,,,,,
,,,,,,,,,
Local Government Area,Offence type,Apr 2015 - Mar 2016,Apr 2016 - Mar 2017,Apr 2017 - Mar 2018,Apr 2018 - Mar 2019,Apr 2019 - Mar 2020,"Rate per 100,000 population Apr 2019 - Mar 2020",2 year trend and annual percent change (Apr 2018-Mar 2020),5 year trend and average annual percent change (Apr 2015-Mar 2020)
Campbelltown,Importing drugs,0,0,0,2,5,3,nc,nc
Campbelltown,Other drug offences,82,84,77,59,84,50,Stable,Stable
Campbelltown,Prohibited and regulated weapons offences,276,332,305,291,359,213.5,Stable,Stable
Campbelltown,Trespass,164,171,158,158,232,138,Up 46.8%,Up 9.1%
Campbelltown,Offensive conduct,66,71,61,46,58,34.5,Stable,Down 3.2%
Campbelltown,Offensive language,80,88,82,91,40,23.8,Down 56.0%,Down 15.9%
Campbelltown,Criminal intent,46,65,55,71,73,43.4,Stable,Up 12.2%
Campbelltown,Betting and gaming offences,4,1,0,0,1,0.6,nc,nc
Campbelltown,Liquor offences,205,240,156,86,83,49.4,Stable,Down 20.2%
Campbelltown,Pornography offences,17,15,12,10,18,10.7,nc,nc
Campbelltown,Prostitution offences,0,0,0,0,0,nc,nc,nc
Campbelltown,Escape custody,4,5,4,0,3,1.8,nc,nc
Campbelltown,Breach Apprehended Violence Order,378,418,446,416,431,256.3,Stable,Stable
Campbelltown,Breach bail conditions,3157,3668,3456,2700,3444,2048.3,Stable,Stable
Campbelltown,Fail to appear,11,14,7,4,5,3,nc,nc
Campbelltown,Resist or hinder officer,176,176,132,197,149,88.6,Stable,Stable
Campbelltown,Other offences against justice procedures,24,25,30,52,106,63,Up 103.8%,Up 45.0%
Campbelltown,Transport regulatory offences,7248,8366,8355,8365,5589,3324,Down 33.2%,Down 6.3%
Campbelltown,Other offences,287,306,270,208,293,174.3,Up 40.9%,Stable
Canada Bay,Murder *,0,2,0,0,1,1.1,nc,nc
Canada Bay,Attempted murder,0,0,0,0,0,nc,nc,nc
Canada Bay,"Murder accessory, conspiracy",0,0,0,0,0,nc,nc,nc
Canada Bay,Manslaughter *,0,0,1,0,0,nc,nc,nc
Sutherland Shire,Domestic violence related assault,455,493,474,523,684,298.4,Up 30.8%,Up 10.7%
Canada Bay,Non-domestic violence related assault,139,141,121,155,145,152.4,Stable,Stable
Canada Bay,Assault Police,9,8,5,7,18,18.9,nc,nc
Canada Bay,Sexual assault,25,20,25,32,24,25.2,Stable,Stable
Canada Bay,"Indecent assault, act of indecency and other sexual offences",37,31,48,45,51,53.6,Stable,Stable
Canada Bay,Abduction and kidnapping,3,0,2,2,2,2.1,nc,nc
Canada Bay,Robbery without a weapon,14,6,10,5,15,15.8,nc,nc
Canada Bay,Robbery with a firearm,1,1,1,1,0,nc,nc,nc
Canada Bay,Robbery with a weapon not a firearm,9,6,8,5,3,3.2,nc,nc
Canada Bay,Blackmail and extortion,4,1,3,1,1,1.1,nc,nc
Canada Bay,"Intimidation, stalking and harassment",119,109,117,84,151,158.7,Up 79.8%,Stable
Canada Bay,Other offences against the person,4,4,1,5,8,8.4,nc,nc
Canada Bay,Break and enter dwelling,259,258,262,186,170,178.6,Stable,Down 10.0%
Canada Bay,Break and enter non-dwelling,99,70,71,70,61,64.1,Stable,Stable
Canada Bay,Receiving or handling stolen goods,27,35,40,50,37,38.9,Stable,Stable
Canada Bay,Motor vehicle theft,105,95,120,91,78,82,Stable,Stable
Canada Bay,Steal from motor vehicle,416,382,323,295,265,278.5,Stable,Down 10.7%
Canada Bay,Steal from retail store,73,83,96,113,178,187.1,Stable,Up 25.0%
Canada Bay,Steal from dwelling,221,205,153,119,112,117.7,Stable,Down 15.6%
Canada Bay,Steal from person,37,28,27,19,17,17.9,nc,nc
Canada Bay,Stock theft,0,0,0,0,0,nc,nc,nc
Canada Bay,Fraud,595,686,572,628,548,575.9,Stable,Stable
Canada Bay,Other theft,215,244,235,187,205,215.4,Stable,Stable
Canada Bay,Arson,12,11,9,6,7,7.4,nc,nc
Canada Bay,Malicious damage to property,364,319,367,273,290,304.8,Stable,Down 5.5%
Canada Bay,Possession and/or use of cocaine,4,8,9,6,19,20,nc,nc
Canada Bay,Possession and/or use of narcotics,4,3,5,8,10,10.5,nc,nc
Canada Bay,Possession and/or use of cannabis,86,73,62,88,97,101.9,Stable,Stable
Canada Bay,Possession and/or use of amphetamines,25,20,26,31,30,31.5,Stable,Stable
Canada Bay,Possession and/or use of ecstasy,2,6,6,4,5,5.3,nc,nc
Canada Bay,Possession and/or use of other drugs,17,19,16,14,29,30.5,nc,nc
Canada Bay,"Dealing, trafficking in cocaine",0,6,9,4,6,6.3,nc,nc
Canada Bay,"Dealing, trafficking in narcotics",0,2,0,0,1,1.1,nc,nc
Canada Bay,"Dealing, trafficking in cannabis",2,0,0,1,5,5.3,nc,nc
Canada Bay,"Dealing, trafficking in amphetamines",2,5,4,4,5,5.3,nc,nc
Canada Bay,"Dealing, trafficking in ecstasy",2,8,0,1,1,1.1,nc,nc
Canada Bay,"Dealing, trafficking in other drugs",0,2,0,1,2,2.1,nc,nc
Canada Bay,Cultivating cannabis,1,3,3,2,3,3.2,nc,nc
Canada Bay,Manufacture drug,1,0,0,0,1,1.1,nc,nc
Canada Bay,Importing drugs,0,0,0,1,4,4.2,nc,nc
Canada Bay,Other drug offences,17,16,16,19,24,25.2,nc,nc
Canada Bay,Prohibited and regulated weapons offences,60,34,39,68,55,57.8,Stable,Stable
Canada Bay,Trespass,42,28,21,38,43,45.2,Stable,Stable
Canada Bay,Offensive conduct,9,15,8,1,6,6.3,nc,nc
Canada Bay,Offensive language,11,10,3,3,9,9.5,nc,nc
Canada Bay,Criminal intent,8,9,6,11,5,5.3,nc,nc
Canada Bay,Betting and gaming offences,1,0,0,0,0,nc,nc,nc
Canada Bay,Liquor offences,42,18,16,135,222,233.3,Stable,nc
Canada Bay,Pornography offences,2,3,1,0,4,4.2,nc,nc
Canada Bay,Prostitution offences,0,0,0,0,0,nc,nc,nc
Canada Bay,Escape custody,0,1,1,2,0,nc,nc,nc
Canada Bay,Breach Apprehended Violence Order,45,33,35,39,38,39.9,Stable,Stable
Canada Bay,Breach bail conditions,32,29,34,47,54,56.7,Stable,Up 14.0%
Canada Bay,Fail to appear,0,0,0,0,0,nc,nc,nc
Canada Bay,Resist or hinder officer,21,20,11,15,24,25.2,nc,nc
Canada Bay,Other offences against justice procedures,3,5,1,1,4,4.2,nc,nc
Canada Bay,Transport regulatory offences,2257,1690,1080,603,506,531.7,Stable,Down 31.2%
Canada Bay,Other offences,167,152,150,149,131,137.7,Stable,Stable
Canterbury-Bankstown,Murder *,5,11,4,4,2,0.5,nc,nc
Canterbury-Bankstown,Attempted murder,1,3,1,1,2,0.5,nc,nc
Canterbury-Bankstown,"Murder accessory, conspiracy",0,0,1,0,0,nc,nc,nc
Canterbury-Bankstown,Manslaughter *,0,0,0,0,0,nc,nc,nc
Muswellbrook,Domestic violence related assault,81,98,94,109,121,738.6,Stable,Up 10.6%
Canterbury-Bankstown,Non-domestic violence related assault,1068,1042,1067,967,1073,287,Stable,Stable
Canterbury-Bankstown,Assault Police,61,59,44,62,55,14.7,Stable,Stable
Canterbury-Bankstown,Sexual assault,145,142,174,194,208,55.6,Stable,Up 9.4%
Canterbury-Bankstown,"Indecent assault, act of indecency and other sexual offences",194,202,198,226,238,63.6,Stable,Stable
Canterbury-Bankstown,Abduction and kidnapping,9,15,13,16,17,4.5,nc,nc
Canterbury-Bankstown,Robbery without a weapon,95,73,85,76,81,21.7,Stable,Stable
Canterbury-Bankstown,Robbery with a firearm,20,8,9,14,8,2.1,nc,nc
Canterbury-Bankstown,Robbery with a weapon not a firearm,69,39,45,45,58,15.5,Stable,Stable
Canterbury-Bankstown,Blackmail and extortion,22,9,14,13,6,1.6,nc,nc
Canterbury-Bankstown,"Intimidation, stalking and harassment",1409,1506,1337,1248,1346,360,Up 7.9%,Stable
Canterbury-Bankstown,Other offences against the person,60,66,10,40,41,11,Stable,nc
Canterbury-Bankstown,Break and enter dwelling,995,744,827,794,786,210.2,Stable,Stable
Canterbury-Bankstown,Break and enter non-dwelling,318,206,231,245,254,67.9,Stable,Stable
Canterbury-Bankstown,Receiving or handling stolen goods,335,290,251,277,244,65.3,Stable,Stable
Canterbury-Bankstown,Motor vehicle theft,876,711,680,576,679,181.6,Stable,Down 6.2%
Canterbury-Bankstown,Steal from motor vehicle,1529,1739,1563,1389,1510,403.8,Stable,Stable
Canterbury-Bankstown,Steal from retail store,526,555,598,500,563,150.6,Stable,Stable
Canterbury-Bankstown,Steal from dwelling,502,536,505,464,462,123.6,Stable,Stable
Canterbury-Bankstown,Steal from person,123,102,97,74,89,23.8,Stable,Down 7.8%
Canterbury-Bankstown,Stock theft,1,0,2,2,1,0.3,nc,nc
Canterbury-Bankstown,Fraud,3062,2603,2288,2276,2426,648.8,Stable,Down 5.7%
Canterbury-Bankstown,Other theft,938,882,874,751,780,208.6,Stable,Down 4.5%
Canterbury-Bankstown,Arson,159,156,169,103,117,31.3,Stable,Down 7.4%
Canterbury-Bankstown,Malicious damage to property,2046,2012,1879,1819,1712,457.8,Stable,Down 4.4%
Canterbury-Bankstown,Possession and/or use of cocaine,39,54,68,78,60,16,Stable,Up 11.4%
Canterbury-Bankstown,Possession and/or use of narcotics,57,59,70,82,74,19.8,Stable,Stable
Canterbury-Bankstown,Possession and/or use of cannabis,846,870,860,815,810,216.6,Stable,Stable
Canterbury-Bankstown,Possession and/or use of amphetamines,199,211,242,232,204,54.6,Stable,Stable
Canterbury-Bankstown,Possession and/or use of ecstasy,22,18,20,21,11,2.9,nc,nc
Canterbury-Bankstown,Possession and/or use of other drugs,154,190,198,241,243,65,Stable,Up 12.1%
Canterbury-Bankstown,"Dealing, trafficking in cocaine",24,18,33,36,30,8,Stable,nc
Canterbury-Bankstown,"Dealing, trafficking in narcotics",12,3,18,15,14,3.7,nc,nc
Canterbury-Bankstown,"Dealing, trafficking in cannabis",33,36,34,48,36,9.6,Stable,Stable
Canterbury-Bankstown,"Dealing, trafficking in amphetamines",72,30,62,41,23,6.2,Down 43.9%,Stable
Canterbury-Bankstown,"Dealing, trafficking in ecstasy",9,3,7,9,8,2.1,nc,nc
Canterbury-Bankstown,"Dealing, trafficking in other drugs",11,14,6,13,14,3.7,nc,nc
Canterbury-Bankstown,Cultivating cannabis,25,41,59,46,48,12.8,Stable,Stable
Canterbury-Bankstown,Manufacture drug,4,6,7,7,2,0.5,nc,nc
Canterbury-Bankstown,Importing drugs,4,3,3,4,18,4.8,nc,nc
Canterbury-Bankstown,Other drug offences,160,152,127,162,183,48.9,Stable,Stable
Canterbury-Bankstown,Prohibited and regulated weapons offences,402,459,426,454,521,139.3,Up 14.8%,Up 6.7%
Canterbury-Bankstown,Trespass,187,235,231,221,210,56.2,Stable,Stable
Canterbury-Bankstown,Offensive conduct,56,47,49,49,39,10.4,Down 20.4%,Stable
Canterbury-Bankstown,Offensive language,74,89,68,32,44,11.8,Stable,Down 12.2%
Canterbury-Bankstown,Criminal intent,63,68,68,47,61,16.3,Stable,Stable
Canterbury-Bankstown,Betting and gaming offences,0,1,0,0,0,nc,nc,nc
Canterbury-Bankstown,Liquor offences,72,143,250,255,252,67.4,Stable,Up 36.8%
Canterbury-Bankstown,Pornography offences,12,19,26,18,23,6.2,nc,nc
Canterbury-Bankstown,Prostitution offences,1,0,0,0,0,nc,nc,nc
Canterbury-Bankstown,Escape custody,3,5,3,5,2,0.5,nc,nc
Canterbury-Bankstown,Breach Apprehended Violence Order,540,540,452,465,472,126.2,Stable,Stable
Canterbury-Bankstown,Breach bail conditions,2128,2450,2774,2557,3556,951,Up 39.1%,Up 13.7%
Canterbury-Bankstown,Fail to appear,33,41,14,46,36,9.6,Stable,nc
Canterbury-Bankstown,Resist or hinder officer,161,129,142,140,122,32.6,Stable,Stable
Canterbury-Bankstown,Other offences against justice procedures,22,15,18,31,43,11.5,Stable,nc
Canterbury-Bankstown,Transport regulatory offences,6551,7261,6638,6265,5102,1364.4,Down 18.6%,Down 6.1%
Canterbury-Bankstown,Other offences,442,383,400,384,368,98.4,Stable,Stable
Carrathool,Murder *,0,0,0,0,0,nc,nc,nc
Carrathool,Attempted murder,0,0,0,0,0,nc,nc,nc
Carrathool,"Murder accessory, conspiracy",0,0,0,0,0,nc,nc,nc
Carrathool,Manslaughter *,0,0,0,0,0,nc,nc,nc
Leeton,Domestic violence related assault,71,55,68,76,105,918,Stable,Up 10.3%
Carrathool,Non-domestic violence related assault,21,16,14,17,13,nc,nc,nc
Carrathool,Assault Police,0,1,0,1,0,nc,nc,nc
Carrathool,Sexual assault,3,2,2,1,4,nc,nc,nc
Carrathool,"Indecent assault, act of indecency and other sexual offences",3,4,6,9,3,nc,nc,nc
Carrathool,Abduction and kidnapping,0,0,0,0,0,nc,nc,nc
Carrathool,Robbery without a weapon,1,0,0,0,0,nc,nc,nc
Carrathool,Robbery with a firearm,0,0,0,0,0,nc,nc,nc
Carrathool,Robbery with a weapon not a firearm,0,0,0,1,0,nc,nc,nc
Carrathool,Blackmail and extortion,0,0,0,0,0,nc,nc,nc
Carrathool,"Intimidation, stalking and harassment",18,11,15,18,11,nc,nc,nc
Carrathool,Other offences against the person,1,0,1,0,1,nc,nc,nc
Carrathool,Break and enter dwelling,10,15,5,18,15,nc,nc,nc
Carrathool,Break and enter non-dwelling,5,7,5,5,7,nc,nc,nc
Carrathool,Receiving or handling stolen goods,2,3,2,1,1,nc,nc,nc
Carrathool,Motor vehicle theft,7,4,5,1,7,nc,nc,nc
Carrathool,Steal from motor vehicle,8,11,12,10,5,nc,nc,nc
Carrathool,Steal from retail store,0,1,1,1,1,nc,nc,nc
Carrathool,Steal from dwelling,6,6,6,14,4,nc,nc,nc
Carrathool,Steal from person,0,0,0,0,0,nc,nc,nc
Carrathool,Stock theft,4,6,3,1,6,nc,nc,nc
Carrathool,Fraud,10,5,6,10,12,nc,nc,nc
Carrathool,Other theft,15,13,17,17,13,nc,nc,nc
Carrathool,Arson,2,1,3,2,2,nc,nc,nc
Carrathool,Malicious damage to property,18,29,26,20,21,nc,Stable,nc
Carrathool,Possession and/or use of cocaine,0,0,0,0,0,nc,nc,nc
Carrathool,Possession and/or use of narcotics,0,1,0,2,0,nc,nc,nc
Carrathool,Possession and/or use of cannabis,6,8,5,6,5,nc,nc,nc
Carrathool,Possession and/or use of amphetamines,0,0,0,3,1,nc,nc,nc
Carrathool,Possession and/or use of ecstasy,0,0,0,1,1,nc,nc,nc
Carrathool,Possession and/or use of other drugs,0,0,1,2,0,nc,nc,nc
Carrathool,"Dealing, trafficking in cocaine",0,0,0,0,0,nc,nc,nc
Carrathool,"Dealing, trafficking in narcotics",0,0,0,0,0,nc,nc,nc
Carrathool,"Dealing, trafficking in cannabis",0,0,0,0,0,nc,nc,nc
Carrathool,"Dealing, trafficking in amphetamines",0,0,0,1,0,nc,nc,nc
Carrathool,"Dealing, trafficking in ecstasy",0,0,0,1,0,nc,nc,nc
Carrathool,"Dealing, trafficking in other drugs",0,0,0,0,0,nc,nc,nc
Carrathool,Cultivating cannabis,0,0,2,0,1,nc,nc,nc
Carrathool,Manufacture drug,0,0,1,1,0,nc,nc,nc
Carrathool,Importing drugs,0,0,0,0,0,nc,nc,nc
Carrathool,Other drug offences,5,1,1,2,2,nc,nc,nc
Carrathool,Prohibited and regulated weapons offences,22,13,29,19,19,nc,nc,nc
Carrathool,Trespass,8,8,11,15,13,nc,nc,nc
Carrathool,Offensive conduct,6,3,6,0,0,nc,nc,nc
Carrathool,Offensive language,3,0,0,0,1,nc,nc,nc
Carrathool,Criminal intent,0,2,1,0,0,nc,nc,nc
Carrathool,Betting and gaming offences,0,0,0,0,0,nc,nc,nc
Carrathool,Liquor offences,23,15,11,1,8,nc,nc,nc
Carrathool,Pornography offences,0,0,0,1,0,nc,nc,nc
Carrathool,Prostitution offences,0,0,0,0,0,nc,nc,nc
Carrathool,Escape custody,0,0,0,0,0,nc,nc,nc
Carrathool,Breach Apprehended Violence Order,16,5,2,6,4,nc,nc,nc
Carrathool,Breach bail conditions,5,3,1,4,5,nc,nc,nc
Carrathool,Fail to appear,0,0,0,0,0,nc,nc,nc
Carrathool,Resist or hinder officer,1,3,1,0,0,nc,nc,nc
Carrathool,Other offences against justice procedures,0,0,0,0,0,nc,nc,nc
Carrathool,Transport regulatory offences,0,0,0,0,0,nc,nc,nc
Carrathool,Other offences,17,19,27,17,12,nc,nc,nc
Central Coast,Murder *,4,2,4,1,4,1.2,nc,nc
Central Coast,Attempted murder,7,0,2,2,2,0.6,nc,nc
Central Coast,"Murder accessory, conspiracy",0,1,0,1,0,nc,nc,nc
Central Coast,Manslaughter *,1,0,2,0,0,nc,nc,nc
Camden,Domestic violence related assault,248,234,339,379,367,389.8,Stable,Up 10.3%
Central Coast,Non-domestic violence related assault,1413,1459,1471,1445,1463,427.7,Stable,Stable
Central Coast,Assault Police,122,78,120,122,105,30.7,Stable,Stable
Central Coast,Sexual assault,255,289,288,271,315,92.1,Stable,Stable
Central Coast,"Indecent assault, act of indecency and other sexual offences",341,390,413,419,370,108.2,Stable,Stable
Central Coast,Abduction and kidnapping,11,11,14,9,12,3.5,nc,nc
Central Coast,Robbery without a weapon,44,36,58,44,45,13.2,Stable,Stable
Central Coast,Robbery with a firearm,11,6,5,6,12,3.5,nc,nc
Central Coast,Robbery with a weapon not a firearm,36,25,37,30,33,9.6,Stable,Stable
Central Coast,Blackmail and extortion,3,1,3,1,0,nc,nc,nc
Central Coast,"Intimidation, stalking and harassment",1829,1880,1986,2030,1984,580,Stable,Up 2.1%
Central Coast,Other offences against the person,66,71,14,58,43,12.6,Stable,nc
Central Coast,Break and enter dwelling,1256,1384,1051,1051,925,270.4,Stable,Down 7.4%
Central Coast,Break and enter non-dwelling,454,482,385,397,330,96.5,Down 16.9%,Down 7.7%
Central Coast,Receiving or handling stolen goods,242,294,247,289,300,87.7,Stable,Stable
Central Coast,Motor vehicle theft,711,739,678,705,713,208.5,Stable,Stable
Central Coast,Steal from motor vehicle,1826,2123,1614,1632,1959,572.7,Up 20.0%,Stable
Central Coast,Steal from retail store,1139,935,830,953,1119,327.1,Stable,Stable
Central Coast,Steal from dwelling,748,804,764,726,682,199.4,Stable,Stable
Central Coast,Steal from person,189,155,163,142,127,37.1,Stable,Down 9.5%
Central Coast,Stock theft,5,7,4,4,1,0.3,nc,nc
Central Coast,Fraud,1903,2105,2242,2231,2288,668.9,Stable,Up 4.7%
Central Coast,Other theft,1085,1073,903,982,895,261.7,Stable,Down 4.7%
Central Coast,Arson,246,317,262,210,209,61.1,Stable,Down 4.0%
Central Coast,Malicious damage to property,3358,3420,3048,2917,2633,769.8,Stable,Down 5.9%
Central Coast,Possession and/or use of cocaine,19,35,44,38,52,15.2,Stable,nc
Central Coast,Possession and/or use of narcotics,14,17,19,28,34,9.9,Stable,nc
Central Coast,Possession and/or use of cannabis,600,572,623,623,578,169,Stable,Stable
Central Coast,Possession and/or use of amphetamines,285,364,278,312,304,88.9,Stable,Stable
Central Coast,Possession and/or use of ecstasy,51,77,120,104,41,12,Stable,Stable
Central Coast,Possession and/or use of other drugs,86,150,119,171,180,52.6,Stable,Up 20.3%
Central Coast,"Dealing, trafficking in cocaine",4,13,5,14,99,28.9,nc,nc
Central Coast,"Dealing, trafficking in narcotics",75,65,5,233,5,1.5,nc,nc
Central Coast,"Dealing, trafficking in cannabis",20,30,21,98,232,67.8,Stable,Up 84.6%
Central Coast,"Dealing, trafficking in amphetamines",72,107,159,146,207,60.5,Stable,Stable
Central Coast,"Dealing, trafficking in ecstasy",10,30,62,28,33,9.6,Stable,nc
Central Coast,"Dealing, trafficking in other drugs",9,8,6,11,40,11.7,nc,nc
Central Coast,Cultivating cannabis,40,31,40,37,39,11.4,Stable,Stable
Central Coast,Manufacture drug,0,2,2,3,4,1.2,nc,nc
Central Coast,Importing drugs,3,4,1,0,6,1.8,nc,nc
Central Coast,Other drug offences,141,160,200,181,202,59.1,Stable,Up 9.4%
Central Coast,Prohibited and regulated weapons offences,465,516,532,520,593,173.4,Up 14.0%,Up 6.3%
Central Coast,Trespass,333,327,361,362,398,116.4,Stable,Up 4.6%
Central Coast,Offensive conduct,184,108,138,150,119,34.8,Stable,Stable
Central Coast,Offensive language,172,139,124,125,93,27.2,Stable,Down 14.2%
Central Coast,Criminal intent,67,69,68,69,70,20.5,Stable,Stable
Central Coast,Betting and gaming offences,1,0,0,2,0,nc,nc,nc
Central Coast,Liquor offences,288,203,229,207,132,38.6,Down 36.2%,Down 17.7%
Central Coast,Pornography offences,34,36,23,45,46,13.4,Stable,Stable
Central Coast,Prostitution offences,0,0,0,0,0,nc,nc,nc
Central Coast,Escape custody,11,10,12,9,5,1.5,nc,nc
Central Coast,Breach Apprehended Violence Order,859,961,905,979,904,264.3,Stable,Stable
Central Coast,Breach bail conditions,1403,1582,1721,1821,1778,519.8,Stable,Up 6.1%
Central Coast,Fail to appear,32,29,13,20,18,5.3,nc,nc
Central Coast,Resist or hinder officer,290,258,333,318,301,88,Stable,Stable
Central Coast,Other offences against justice procedures,18,15,12,26,81,23.7,Up 211.5%,nc
Central Coast,Transport regulatory offences,5292,5853,7186,5252,5506,1609.7,Stable,Stable
Central Coast,Other offences,553,536,622,595,499,145.9,Stable,Stable
Central Darling,Murder *,0,0,0,0,0,nc,nc,nc
Central Darling,Attempted murder,0,0,0,0,0,nc,nc,nc
Central Darling,"Murder accessory, conspiracy",0,0,0,0,0,nc,nc,nc
Central Darling,Manslaughter *,0,0,0,0,0,nc,nc,nc
Broken Hill,Domestic violence related assault,166,149,200,203,244,1375.9,Up 20.2%,Up 10.1%
Central Darling,Non-domestic violence related assault,46,51,26,42,41,nc,Stable,Stable
Central Darling,Assault Police,3,5,5,4,3,nc,nc,nc
Central Darling,Sexual assault,5,3,6,5,6,nc,nc,nc
Central Darling,"Indecent assault, act of indecency and other sexual offences",6,4,6,6,7,nc,nc,nc
Central Darling,Abduction and kidnapping,1,1,0,0,0,nc,nc,nc
Central Darling,Robbery without a weapon,0,0,0,0,0,nc,nc,nc
Central Darling,Robbery with a firearm,0,0,0,0,0,nc,nc,nc
Central Darling,Robbery with a weapon not a firearm,0,0,0,0,0,nc,nc,nc
Central Darling,Blackmail and extortion,0,0,0,0,0,nc,nc,nc
Central Darling,"Intimidation, stalking and harassment",25,34,41,23,19,nc,nc,nc
Central Darling,Other offences against the person,2,0,2,1,1,nc,nc,nc
Central Darling,Break and enter dwelling,32,70,29,27,17,nc,nc,nc
Central Darling,Break and enter non-dwelling,24,24,17,19,39,nc,nc,nc
Central Darling,Receiving or handling stolen goods,2,8,4,1,1,nc,nc,nc
Central Darling,Motor vehicle theft,5,14,6,3,7,nc,nc,nc
Central Darling,Steal from motor vehicle,8,32,20,18,15,nc,nc,nc
Central Darling,Steal from retail store,0,1,1,1,0,nc,nc,nc
Central Darling,Steal from dwelling,15,11,7,10,7,nc,nc,nc
Central Darling,Steal from person,1,1,1,1,0,nc,nc,nc
Central Darling,Stock theft,1,3,1,1,3,nc,nc,nc
Central Darling,Fraud,6,5,2,7,5,nc,nc,nc
Central Darling,Other theft,9,17,9,10,16,nc,nc,nc
Central Darling,Arson,1,3,5,3,1,nc,nc,nc
Central Darling,Malicious damage to property,48,49,49,65,74,nc,Stable,Stable
Central Darling,Possession and/or use of cocaine,0,0,0,0,0,nc,nc,nc
Central Darling,Possession and/or use of narcotics,0,0,0,0,0,nc,nc,nc
Central Darling,Possession and/or use of cannabis,7,15,9,7,12,nc,nc,nc
Central Darling,Possession and/or use of amphetamines,1,1,0,0,0,nc,nc,nc
Central Darling,Possession and/or use of ecstasy,0,0,0,0,0,nc,nc,nc
Central Darling,Possession and/or use of other drugs,0,0,0,1,1,nc,nc,nc
Central Darling,"Dealing, trafficking in cocaine",0,0,0,0,0,nc,nc,nc
Central Darling,"Dealing, trafficking in narcotics",0,0,0,0,0,nc,nc,nc
Central Darling,"Dealing, trafficking in cannabis",0,2,1,0,0,nc,nc,nc
Central Darling,"Dealing, trafficking in amphetamines",0,0,1,0,0,nc,nc,nc
Central Darling,"Dealing, trafficking in ecstasy",0,0,0,0,0,nc,nc,nc
Central Darling,"Dealing, trafficking in other drugs",0,0,0,0,0,nc,nc,nc
Central Darling,Cultivating cannabis,0,0,0,0,0,nc,nc,nc
Central Darling,Manufacture drug,0,0,0,0,0,nc,nc,nc
Central Darling,Importing drugs,0,0,0,0,0,nc,nc,nc
Central Darling,Other drug offences,3,3,1,2,1,nc,nc,nc
Central Darling,Prohibited and regulated weapons offences,14,21,8,20,18,nc,nc,nc
Central Darling,Trespass,20,22,16,23,22,nc,Stable,nc
Central Darling,Offensive conduct,12,5,10,3,4,nc,nc,nc
Central Darling,Offensive language,22,9,5,1,5,nc,nc,nc
Central Darling,Criminal intent,0,1,2,2,2,nc,nc,nc
Central Darling,Betting and gaming offences,0,0,0,0,0,nc,nc,nc
Central Darling,Liquor offences,23,19,19,17,7,nc,nc,nc
Central Darling,Pornography offences,0,0,0,0,0,nc,nc,nc
Central Darling,Prostitution offences,0,0,0,0,0,nc,nc,nc
Central Darling,Escape custody,1,1,3,0,0,nc,nc,nc
Central Darling,Breach Apprehended Violence Order,46,38,33,44,52,nc,Stable,Stable
Central Darling,Breach bail conditions,32,41,51,30,55,nc,Up 83.3%,Stable
Central Darling,Fail to appear,1,1,0,1,0,nc,nc,nc
Central Darling,Resist or hinder officer,20,14,6,9,7,nc,nc,nc
Central Darling,Other offences against justice procedures,8,6,0,7,3,nc,nc,nc
Central Darling,Transport regulatory offences,0,1,0,0,2,nc,nc,nc
Central Darling,Other offences,32,16,16,21,15,nc,nc,nc
Cessnock,Murder *,0,0,0,0,0,nc,nc,nc
Cessnock,Attempted murder,0,0,0,0,0,nc,nc,nc
Cessnock,"Murder accessory, conspiracy",0,0,0,0,1,1.7,nc,nc
Cessnock,Manslaughter *,0,0,0,1,0,nc,nc,nc
Bourke,Domestic violence related assault,122,89,91,112,99,nc,Stable,Stable
Cessnock,Non-domestic violence related assault,244,264,253,222,239,404.4,Up 7.7%,Stable
Cessnock,Assault Police,22,17,17,19,15,25.4,nc,nc
Cessnock,Sexual assault,64,50,89,73,62,104.9,Stable,Stable
Cessnock,"Indecent assault, act of indecency and other sexual offences",56,79,61,85,91,154,Stable,Up 12.9%
Cessnock,Abduction and kidnapping,4,3,3,1,2,3.4,nc,nc
Cessnock,Robbery without a weapon,13,6,6,8,5,8.5,nc,nc
Cessnock,Robbery with a firearm,3,3,1,2,0,nc,nc,nc
Cessnock,Robbery with a weapon not a firearm,5,8,8,6,8,13.5,nc,nc
Cessnock,Blackmail and extortion,0,0,0,0,0,nc,nc,nc
Cessnock,"Intimidation, stalking and harassment",363,333,415,298,312,527.9,Stable,Stable
Cessnock,Other offences against the person,9,9,4,7,11,18.6,nc,nc
Cessnock,Break and enter dwelling,368,407,380,349,334,565.1,Stable,Stable
Cessnock,Break and enter non-dwelling,184,205,172,147,190,321.5,Stable,Stable
Cessnock,Receiving or handling stolen goods,69,62,85,86,75,126.9,Stable,Stable
Cessnock,Motor vehicle theft,263,309,309,310,302,511,Stable,Stable
Cessnock,Steal from motor vehicle,558,519,450,466,429,725.9,Stable,Down 6.4%
Cessnock,Steal from retail store,190,160,152,175,146,247,Stable,Stable
Cessnock,Steal from dwelling,262,291,245,285,286,483.9,Stable,Stable
Cessnock,Steal from person,19,28,24,15,16,27.1,nc,nc
Cessnock,Stock theft,5,4,1,4,1,1.7,nc,nc
Cessnock,Fraud,390,312,313,369,389,658.2,Stable,Stable
