"Population projections by age groups, Local Government Area and year ",,,,,,,,,,,
,,,,,,,,,,,
  ,  ,  ,  , Population, Population, Population, Population, Population, Population, Population, Population
 Cowra LGA, Persons, 2016 and 2021*, 0-14, , , ,"2,246","2,054", , , 
 Cowra LGA, Persons, 2016 and 2021*, 15-44, , , ,"3,902","3,540", , , 
 Cowra LGA, Persons, 2016 and 2021*, 45-64, , , ,"3,493","3,203", , , 
 Cowra LGA, Persons, 2016 and 2021*, 65+, , , ,"3,032","3,290", , , 
 Cowra LGA, Persons, 2016 and 2021*, All ages, , , ,"12,673","12,086", , , 
 Cowra LGA, Persons, 2016 and 2026*, 0-14, , , ,"2,246", ,"1,963", , 
 Cowra LGA, Persons, 2016 and 2026*, 15-44, , , ,"3,902", ,"3,327", , 
 Cowra LGA, Persons, 2016 and 2026*, 45-64, , , ,"3,493", ,"2,984", , 
 Cowra LGA, Persons, 2016 and 2026*, 65+, , , ,"3,032", ,"3,485", , 
 Cowra LGA, Persons, 2016 and 2026*, All ages, , , ,"12,673", ,"11,759", , 
 Cowra LGA, Persons, 2016 and 2031*, 0-14, , , ,"2,246", , ,"1,843", 
 Cowra LGA, Persons, 2016 and 2031*, 15-44, , , ,"3,902", , ,"3,086", 
 Cowra LGA, Persons, 2016 and 2031*, 45-64, , , ,"3,493", , ,"2,835", 
 Cowra LGA, Persons, 2016 and 2031*, 65+, , , ,"3,032", , ,"3,595", 
 Cowra LGA, Persons, 2016 and 2031*, All ages, , , ,"12,673", , ,"11,358", 
 Cowra LGA, Persons, 2016 and 2036*, 0-14, , , ,"2,246", , , ,"1,709"
 Cowra LGA, Persons, 2016 and 2036*, 15-44, , , ,"3,902", , , ,"2,825"
 Cowra LGA, Persons, 2016 and 2036*, 45-64, , , ,"3,493", , , ,"2,728"
 Cowra LGA, Persons, 2016 and 2036*, 65+, , , ,"3,032", , , ,"3,628"
 Cowra LGA, Persons, 2016 and 2036*, All ages, , , ,"12,673", , , ,"10,891"
 Cumberland LGA, Persons, 2001 and 2016, 0-14,"36,414", , ,"46,140", , , , 
 Cumberland LGA, Persons, 2001 and 2016, 15-44,"79,190", , ,"108,422", , , , 
 Cumberland LGA, Persons, 2001 and 2016, 45-64,"35,679", , ,"46,638", , , , 
 Cumberland LGA, Persons, 2001 and 2016, 65+,"19,917", , ,"24,851", , , , 
 Cumberland LGA, Persons, 2001 and 2016, All ages,"171,200", , ,"226,051", , , , 
 Cumberland LGA, Persons, 2006 and 2016, 0-14, ,"38,375", ,"46,140", , , , 
 Cumberland LGA, Persons, 2006 and 2016, 15-44, ,"83,686", ,"108,422", , , , 
 Cumberland LGA, Persons, 2006 and 2016, 45-64, ,"38,401", ,"46,638", , , , 
 Cumberland LGA, Persons, 2006 and 2016, 65+, ,"19,941", ,"24,851", , , , 
 Cumberland LGA, Persons, 2006 and 2016, All ages, ,"180,403", ,"226,051", , , , 
 Cumberland LGA, Persons, 2011 and 2016, 0-14, , ,"41,779","46,140", , , , 
 Cumberland LGA, Persons, 2011 and 2016, 15-44, , ,"95,605","108,422", , , , 
 Cumberland LGA, Persons, 2011 and 2016, 45-64, , ,"43,717","46,638", , , , 
 Cumberland LGA, Persons, 2011 and 2016, 65+, , ,"22,080","24,851", , , , 
 Cumberland LGA, Persons, 2011 and 2016, All ages, , ,"203,181","226,051", , , , 
 Cumberland LGA, Persons, 2016 and 2021*, 0-14, , , ,"46,140","50,881", , , 
 Cumberland LGA, Persons, 2016 and 2021*, 15-44, , , ,"108,422","105,633", , , 
 Cumberland LGA, Persons, 2016 and 2021*, 45-64, , , ,"46,638","51,191", , , 
 Cumberland LGA, Persons, 2016 and 2021*, 65+, , , ,"24,851","30,484", , , 
 Cumberland LGA, Persons, 2016 and 2021*, All ages, , , ,"226,051","238,189", , , 
 Cumberland LGA, Persons, 2016 and 2026*, 0-14, , , ,"46,140", ,"53,358", , 
 Cumberland LGA, Persons, 2016 and 2026*, 15-44, , , ,"108,422", ,"109,907", , 
 Cumberland LGA, Persons, 2016 and 2026*, 45-64, , , ,"46,638", ,"55,331", , 
 Cumberland LGA, Persons, 2016 and 2026*, 65+, , , ,"24,851", ,"35,770", , 
 Cumberland LGA, Persons, 2016 and 2026*, All ages, , , ,"226,051", ,"254,367", , 
 Cumberland LGA, Persons, 2016 and 2031*, 0-14, , , ,"46,140", , ,"55,583", 
 Cumberland LGA, Persons, 2016 and 2031*, 15-44, , , ,"108,422", , ,"115,003", 
 Cumberland LGA, Persons, 2016 and 2031*, 45-64, , , ,"46,638", , ,"61,637", 
 Cumberland LGA, Persons, 2016 and 2031*, 65+, , , ,"24,851", , ,"41,699", 
 Cumberland LGA, Persons, 2016 and 2031*, All ages, , , ,"226,051", , ,"273,921", 
 Cumberland LGA, Persons, 2016 and 2036*, 0-14, , , ,"46,140", , , ,"57,446"
 Cumberland LGA, Persons, 2016 and 2036*, 15-44, , , ,"108,422", , , ,"119,559"
 Cumberland LGA, Persons, 2016 and 2036*, 45-64, , , ,"46,638", , , ,"67,859"
 Cumberland LGA, Persons, 2016 and 2036*, 65+, , , ,"24,851", , , ,"47,564"
 Cumberland LGA, Persons, 2016 and 2036*, All ages, , , ,"226,051", , , ,"292,428"
 Dungog LGA, Persons, 2001 and 2016, 0-14,"1,853", , ,"1,742", , , , 
 Dungog LGA, Persons, 2001 and 2016, 15-44,"3,138", , ,"2,875", , , , 
 Dungog LGA, Persons, 2001 and 2016, 45-64,"2,214", , ,"2,765", , , , 
 Dungog LGA, Persons, 2001 and 2016, 65+,"1,133", , ,"1,732", , , , 
 Dungog LGA, Persons, 2001 and 2016, All ages,"8,338", , ,"9,114", , , , 
 Dungog LGA, Persons, 2006 and 2016, 0-14, ,"1,721", ,"1,742", , , , 
 Dungog LGA, Persons, 2006 and 2016, 15-44, ,"2,890", ,"2,875", , , , 
 Dungog LGA, Persons, 2006 and 2016, 45-64, ,"2,384", ,"2,765", , , , 
 Dungog LGA, Persons, 2006 and 2016, 65+, ,"1,250", ,"1,732", , , , 
 Dungog LGA, Persons, 2006 and 2016, All ages, ,"8,245", ,"9,114", , , , 
 Dungog LGA, Persons, 2011 and 2016, 0-14, , ,"1,603","1,742", , , , 
 Dungog LGA, Persons, 2011 and 2016, 15-44, , ,"2,806","2,875", , , , 
 Dungog LGA, Persons, 2011 and 2016, 45-64, , ,"2,655","2,765", , , , 
 Dungog LGA, Persons, 2011 and 2016, 65+, , ,"1,492","1,732", , , , 
 Dungog LGA, Persons, 2011 and 2016, All ages, , ,"8,556","9,114", , , , 
 Dungog LGA, Persons, 2016 and 2021*, 0-14, , , ,"1,742","1,564", , , 
 Dungog LGA, Persons, 2016 and 2021*, 15-44, , , ,"2,875","2,639", , , 
 Dungog LGA, Persons, 2016 and 2021*, 45-64, , , ,"2,765","2,685", , , 
 Dungog LGA, Persons, 2016 and 2021*, 65+, , , ,"1,732","1,986", , , 
 Dungog LGA, Persons, 2016 and 2021*, All ages, , , ,"9,114","8,874", , , 
 Dungog LGA, Persons, 2016 and 2026*, 0-14, , , ,"1,742", ,"1,534", , 
 Dungog LGA, Persons, 2016 and 2026*, 15-44, , , ,"2,875", ,"2,607", , 
 Dungog LGA, Persons, 2016 and 2026*, 45-64, , , ,"2,765", ,"2,530", , 
 Dungog LGA, Persons, 2016 and 2026*, 65+, , , ,"1,732", ,"2,276", , 
 Dungog LGA, Persons, 2016 and 2026*, All ages, , , ,"9,114", ,"8,948", , 
 Dungog LGA, Persons, 2016 and 2031*, 0-14, , , ,"1,742", , ,"1,500", 
 Dungog LGA, Persons, 2016 and 2031*, 15-44, , , ,"2,875", , ,"2,525", 
 Dungog LGA, Persons, 2016 and 2031*, 45-64, , , ,"2,765", , ,"2,468", 
 Dungog LGA, Persons, 2016 and 2031*, 65+, , , ,"1,732", , ,"2,484", 
 Dungog LGA, Persons, 2016 and 2031*, All ages, , , ,"9,114", , ,"8,978", 
 Dungog LGA, Persons, 2016 and 2036*, 0-14, , , ,"1,742", , , ,"1,460"
 Dungog LGA, Persons, 2016 and 2036*, 15-44, , , ,"2,875", , , ,"2,423"
 Dungog LGA, Persons, 2016 and 2036*, 45-64, , , ,"2,765", , , ,"2,478"
 Dungog LGA, Persons, 2016 and 2036*, 65+, , , ,"1,732", , , ,"2,611"
 Dungog LGA, Persons, 2016 and 2036*, All ages, , , ,"9,114", , , ,"8,972"
 Edward River LGA, Persons, 2001 and 2016, 0-14,"2,292", , ,"1,664", , , , 
 Edward River LGA, Persons, 2001 and 2016, 15-44,"3,886", , ,"2,960", , , , 
 Edward River LGA, Persons, 2001 and 2016, 45-64,"2,350", , ,"2,446", , , , 
 Edward River LGA, Persons, 2001 and 2016, 65+,"1,546", , ,"1,881", , , , 
 Edward River LGA, Persons, 2001 and 2016, All ages,"10,074", , ,"8,951", , , , 
 Edward River LGA, Persons, 2006 and 2016, 0-14, ,"1,965", ,"1,664", , , , 
 Edward River LGA, Persons, 2006 and 2016, 15-44, ,"3,300", ,"2,960", , , , 
 Edward River LGA, Persons, 2006 and 2016, 45-64, ,"2,412", ,"2,446", , , , 
 Edward River LGA, Persons, 2006 and 2016, 65+, ,"1,610", ,"1,881", , , , 
 Edward River LGA, Persons, 2006 and 2016, All ages, ,"9,287", ,"8,951", , , , 
 Edward River LGA, Persons, 2011 and 2016, 0-14, , ,"1,772","1,664", , , , 
 Edward River LGA, Persons, 2011 and 2016, 15-44, , ,"2,904","2,960", , , , 
 Edward River LGA, Persons, 2011 and 2016, 45-64, , ,"2,477","2,446", , , , 
 Edward River LGA, Persons, 2011 and 2016, 65+, , ,"1,735","1,881", , , , 
 Edward River LGA, Persons, 2011 and 2016, All ages, , ,"8,888","8,951", , , , 
 Edward River LGA, Persons, 2016 and 2021*, 0-14, , , ,"1,664","1,603", , , 
 Edward River LGA, Persons, 2016 and 2021*, 15-44, , , ,"2,960","2,497", , , 
 Edward River LGA, Persons, 2016 and 2021*, 45-64, , , ,"2,446","2,223", , , 
 Edward River LGA, Persons, 2016 and 2021*, 65+, , , ,"1,881","2,085", , , 
 Edward River LGA, Persons, 2016 and 2021*, All ages, , , ,"8,951","8,407", , , 
 Edward River LGA, Persons, 2016 and 2026*, 0-14, , , ,"1,664", ,"1,513", , 
 Edward River LGA, Persons, 2016 and 2026*, 15-44, , , ,"2,960", ,"2,366", , 
 Edward River LGA, Persons, 2016 and 2026*, 45-64, , , ,"2,446", ,"1,995", , 
 Edward River LGA, Persons, 2016 and 2026*, 65+, , , ,"1,881", ,"2,237", , 
 Edward River LGA, Persons, 2016 and 2026*, All ages, , , ,"8,951", ,"8,111", , 
 Edward River LGA, Persons, 2016 and 2031*, 0-14, , , ,"1,664", , ,"1,428", 
 Edward River LGA, Persons, 2016 and 2031*, 15-44, , , ,"2,960", , ,"2,199", 
 Edward River LGA, Persons, 2016 and 2031*, 45-64, , , ,"2,446", , ,"1,858", 
 Edward River LGA, Persons, 2016 and 2031*, 65+, , , ,"1,881", , ,"2,305", 
 Edward River LGA, Persons, 2016 and 2031*, All ages, , , ,"8,951", , ,"7,790", 
 Edward River LGA, Persons, 2016 and 2036*, 0-14, , , ,"1,664", , , ,"1,334"
 Edward River LGA, Persons, 2016 and 2036*, 15-44, , , ,"2,960", , , ,"2,025"
 Edward River LGA, Persons, 2016 and 2036*, 45-64, , , ,"2,446", , , ,"1,786"
 Edward River LGA, Persons, 2016 and 2036*, 65+, , , ,"1,881", , , ,"2,311"
 Edward River LGA, Persons, 2016 and 2036*, All ages, , , ,"8,951", , , ,"7,455"
 Eurobodalla LGA, Persons, 2001 and 2016, 0-14,"6,337", , ,"5,613", , , , 
 Eurobodalla LGA, Persons, 2001 and 2016, 15-44,"10,565", , ,"9,664", , , , 
 Eurobodalla LGA, Persons, 2001 and 2016, 45-64,"9,421", , ,"11,526", , , , 
 Eurobodalla LGA, Persons, 2001 and 2016, 65+,"7,316", , ,"11,165", , , , 
 Eurobodalla LGA, Persons, 2001 and 2016, All ages,"33,639", , ,"37,968", , , , 
 Eurobodalla LGA, Persons, 2006 and 2016, 0-14, ,"6,228", ,"5,613", , , , 
 Eurobodalla LGA, Persons, 2006 and 2016, 15-44, ,"10,491", ,"9,664", , , , 
 Eurobodalla LGA, Persons, 2006 and 2016, 45-64, ,"11,062", ,"11,526", , , , 
 Eurobodalla LGA, Persons, 2006 and 2016, 65+, ,"8,074", ,"11,165", , , , 
 Eurobodalla LGA, Persons, 2006 and 2016, All ages, ,"35,855", ,"37,968", , , , 
 Eurobodalla LGA, Persons, 2011 and 2016, 0-14, , ,"6,150","5,613", , , , 
 Eurobodalla LGA, Persons, 2011 and 2016, 15-44, , ,"9,965","9,664", , , , 
 Eurobodalla LGA, Persons, 2011 and 2016, 45-64, , ,"11,590","11,526", , , , 
 Eurobodalla LGA, Persons, 2011 and 2016, 65+, , ,"9,377","11,165", , , , 
 Eurobodalla LGA, Persons, 2011 and 2016, All ages, , ,"37,082","37,968", , , , 
 Eurobodalla LGA, Persons, 2016 and 2021*, 0-14, , , ,"5,613","5,639", , , 
 Eurobodalla LGA, Persons, 2016 and 2021*, 15-44, , , ,"9,664","8,908", , , 
 Eurobodalla LGA, Persons, 2016 and 2021*, 45-64, , , ,"11,526","11,457", , , 
 Eurobodalla LGA, Persons, 2016 and 2021*, 65+, , , ,"11,165","13,464", , , 
 Eurobodalla LGA, Persons, 2016 and 2021*, All ages, , , ,"37,968","39,468", , , 
 Eurobodalla LGA, Persons, 2016 and 2026*, 0-14, , , ,"5,613", ,"5,379", , 
 Eurobodalla LGA, Persons, 2016 and 2026*, 15-44, , , ,"9,664", ,"8,589", , 
 Eurobodalla LGA, Persons, 2016 and 2026*, 45-64, , , ,"11,526", ,"10,838", , 
 Eurobodalla LGA, Persons, 2016 and 2026*, 65+, , , ,"11,165", ,"15,389", , 
 Eurobodalla LGA, Persons, 2016 and 2026*, All ages, , , ,"37,968", ,"40,195", , 
 Eurobodalla LGA, Persons, 2016 and 2031*, 0-14, , , ,"5,613", , ,"5,117", 
 Eurobodalla LGA, Persons, 2016 and 2031*, 15-44, , , ,"9,664", , ,"8,045", 
 Eurobodalla LGA, Persons, 2016 and 2031*, 45-64, , , ,"11,526", , ,"10,515", 
 Eurobodalla LGA, Persons, 2016 and 2031*, 65+, , , ,"11,165", , ,"16,889", 
 Eurobodalla LGA, Persons, 2016 and 2031*, All ages, , , ,"37,968", , ,"40,566", 
 Eurobodalla LGA, Persons, 2016 and 2036*, 0-14, , , ,"5,613", , , ,"4,823"
 Eurobodalla LGA, Persons, 2016 and 2036*, 15-44, , , ,"9,664", , , ,"7,477"
 Eurobodalla LGA, Persons, 2016 and 2036*, 45-64, , , ,"11,526", , , ,"10,360"
 Eurobodalla LGA, Persons, 2016 and 2036*, 65+, , , ,"11,165", , , ,"17,918"
 Eurobodalla LGA, Persons, 2016 and 2036*, All ages, , , ,"37,968", , , ,"40,577"
 Fairfield LGA, Persons, 2001 and 2016, 0-14,"41,629", , ,"39,706", , , , 
 Fairfield LGA, Persons, 2001 and 2016, 15-44,"86,761", , ,"86,220", , , , 
 Fairfield LGA, Persons, 2001 and 2016, 45-64,"41,017", , ,"52,872", , , , 
 Fairfield LGA, Persons, 2001 and 2016, 65+,"18,418", , ,"27,638", , , , 
 Fairfield LGA, Persons, 2001 and 2016, All ages,"187,825", , ,"206,436", , , , 
 Fairfield LGA, Persons, 2006 and 2016, 0-14, ,"39,468", ,"39,706", , , , 
 Fairfield LGA, Persons, 2006 and 2016, 15-44, ,"81,459", ,"86,220", , , , 
 Fairfield LGA, Persons, 2006 and 2016, 45-64, ,"44,820", ,"52,872", , , , 
 Fairfield LGA, Persons, 2006 and 2016, 65+, ,"20,370", ,"27,638", , , , 
 Fairfield LGA, Persons, 2006 and 2016, All ages, ,"186,117", ,"206,436", , , , 
 Fairfield LGA, Persons, 2011 and 2016, 0-14, , ,"39,073","39,706", , , , 
 Fairfield LGA, Persons, 2011 and 2016, 15-44, , ,"84,114","86,220", , , , 
 Fairfield LGA, Persons, 2011 and 2016, 45-64, , ,"49,979","52,872", , , , 
 Fairfield LGA, Persons, 2011 and 2016, 65+, , ,"23,313","27,638", , , , 
 Fairfield LGA, Persons, 2011 and 2016, All ages, , ,"196,479","206,436", , , , 
 Fairfield LGA, Persons, 2016 and 2021*, 0-14, , , ,"39,706","42,429", , , 
 Fairfield LGA, Persons, 2016 and 2021*, 15-44, , , ,"86,220","82,169", , , 
 Fairfield LGA, Persons, 2016 and 2021*, 45-64, , , ,"52,872","52,633", , , 
 Fairfield LGA, Persons, 2016 and 2021*, 65+, , , ,"27,638","33,812", , , 
 Fairfield LGA, Persons, 2016 and 2021*, All ages, , , ,"206,436","211,042", , , 
 Fairfield LGA, Persons, 2016 and 2026*, 0-14, , , ,"39,706", ,"43,468", , 
 Fairfield LGA, Persons, 2016 and 2026*, 15-44, , , ,"86,220", ,"81,671", , 
 Fairfield LGA, Persons, 2016 and 2026*, 45-64, , , ,"52,872", ,"52,015", , 
 Fairfield LGA, Persons, 2016 and 2026*, 65+, , , ,"27,638", ,"39,625", , 
 Fairfield LGA, Persons, 2016 and 2026*, All ages, , , ,"206,436", ,"216,779", , 
 Fairfield LGA, Persons, 2016 and 2031*, 0-14, , , ,"39,706", , ,"42,949", 
 Fairfield LGA, Persons, 2016 and 2031*, 15-44, , , ,"86,220", , ,"81,217", 
 Fairfield LGA, Persons, 2016 and 2031*, 45-64, , , ,"52,872", , ,"52,594", 
 Fairfield LGA, Persons, 2016 and 2031*, 65+, , , ,"27,638", , ,"44,218", 
 Fairfield LGA, Persons, 2016 and 2031*, All ages, , , ,"206,436", , ,"220,978", 
 Fairfield LGA, Persons, 2016 and 2036*, 0-14, , , ,"39,706", , , ,"42,598"
 Fairfield LGA, Persons, 2016 and 2036*, 15-44, , , ,"86,220", , , ,"82,705"
 Fairfield LGA, Persons, 2016 and 2036*, 45-64, , , ,"52,872", , , ,"53,361"
 Fairfield LGA, Persons, 2016 and 2036*, 65+, , , ,"27,638", , , ,"48,060"
 Fairfield LGA, Persons, 2016 and 2036*, All ages, , , ,"206,436", , , ,"226,725"
 Federation LGA, Persons, 2001 and 2016, 0-14,"2,492", , ,"2,159", , , , 
 Federation LGA, Persons, 2001 and 2016, 15-44,"4,143", , ,"3,518", , , , 
 Federation LGA, Persons, 2001 and 2016, 45-64,"3,157", , ,"3,382", , , , 
 Federation LGA, Persons, 2001 and 2016, 65+,"2,329", , ,"3,352", , , , 
 Federation LGA, Persons, 2001 and 2016, All ages,"12,121", , ,"12,411", , , , 
 Federation LGA, Persons, 2006 and 2016, 0-14, ,"2,422", ,"2,159", , , , 
 Federation LGA, Persons, 2006 and 2016, 15-44, ,"4,014", ,"3,518", , , , 
 Federation LGA, Persons, 2006 and 2016, 45-64, ,"3,430", ,"3,382", , , , 
 Federation LGA, Persons, 2006 and 2016, 65+, ,"2,631", ,"3,352", , , , 
 Federation LGA, Persons, 2006 and 2016, All ages, ,"12,497", ,"12,411", , , , 
 Federation LGA, Persons, 2011 and 2016, 0-14, , ,"2,330","2,159", , , , 
 Federation LGA, Persons, 2011 and 2016, 15-44, , ,"3,746","3,518", , , , 
 Federation LGA, Persons, 2011 and 2016, 45-64, , ,"3,505","3,382", , , , 
 Federation LGA, Persons, 2011 and 2016, 65+, , ,"2,928","3,352", , , , 
 Federation LGA, Persons, 2011 and 2016, All ages, , ,"12,509","12,411", , , , 
 Federation LGA, Persons, 2016 and 2021*, 0-14, , , ,"2,159","2,127", , , 
 Federation LGA, Persons, 2016 and 2021*, 15-44, , , ,"3,518","3,389", , , 
 Federation LGA, Persons, 2016 and 2021*, 45-64, , , ,"3,382","3,311", , , 
 Federation LGA, Persons, 2016 and 2021*, 65+, , , ,"3,352","3,871", , , 
 Federation LGA, Persons, 2016 and 2021*, All ages, , , ,"12,411","12,698", , , 
 Federation LGA, Persons, 2016 and 2026*, 0-14, , , ,"2,159", ,"2,022", , 
 Federation LGA, Persons, 2016 and 2026*, 15-44, , , ,"3,518", ,"3,269", , 
 Federation LGA, Persons, 2016 and 2026*, 45-64, , , ,"3,382", ,"3,107", , 
 Federation LGA, Persons, 2016 and 2026*, 65+, , , ,"3,352", ,"4,276", , 
 Federation LGA, Persons, 2016 and 2026*, All ages, , , ,"12,411", ,"12,674", , 
 Federation LGA, Persons, 2016 and 2031*, 0-14, , , ,"2,159", , ,"1,951", 
 Federation LGA, Persons, 2016 and 2031*, 15-44, , , ,"3,518", , ,"3,078", 
 Federation LGA, Persons, 2016 and 2031*, 45-64, , , ,"3,382", , ,"2,972", 
 Federation LGA, Persons, 2016 and 2031*, 65+, , , ,"3,352", , ,"4,585", 
 Federation LGA, Persons, 2016 and 2031*, All ages, , , ,"12,411", , ,"12,587", 
 Federation LGA, Persons, 2016 and 2036*, 0-14, , , ,"2,159", , , ,"1,871"
 Federation LGA, Persons, 2016 and 2036*, 15-44, , , ,"3,518", , , ,"2,908"
 Federation LGA, Persons, 2016 and 2036*, 45-64, , , ,"3,382", , , ,"2,903"
 Federation LGA, Persons, 2016 and 2036*, 65+, , , ,"3,352", , , ,"4,763"
 Federation LGA, Persons, 2016 and 2036*, All ages, , , ,"12,411", , , ,"12,446"
 Forbes LGA, Persons, 2001 and 2016, 0-14,"2,266", , ,"2,085", , , , 
 Forbes LGA, Persons, 2001 and 2016, 15-44,"3,787", , ,"3,225", , , , 
 Forbes LGA, Persons, 2001 and 2016, 45-64,"2,485", , ,"2,434", , , , 
 Forbes LGA, Persons, 2001 and 2016, 65+,"1,524", , ,"2,064", , , , 
 Forbes LGA, Persons, 2001 and 2016, All ages,"10,062", , ,"9,808", , , , 
 Forbes LGA, Persons, 2006 and 2016, 0-14, ,"2,101", ,"2,085", , , , 
 Forbes LGA, Persons, 2006 and 2016, 15-44, ,"3,402", ,"3,225", , , , 
 Forbes LGA, Persons, 2006 and 2016, 45-64, ,"2,415", ,"2,434", , , , 
 Forbes LGA, Persons, 2006 and 2016, 65+, ,"1,622", ,"2,064", , , , 
 Forbes LGA, Persons, 2006 and 2016, All ages, ,"9,540", ,"9,808", , , , 
 Forbes LGA, Persons, 2011 and 2016, 0-14, , ,"1,987","2,085", , , , 
 Forbes LGA, Persons, 2011 and 2016, 15-44, , ,"3,189","3,225", , , , 
 Forbes LGA, Persons, 2011 and 2016, 45-64, , ,"2,496","2,434", , , , 
 Forbes LGA, Persons, 2011 and 2016, 65+, , ,"1,797","2,064", , , , 
 Forbes LGA, Persons, 2011 and 2016, All ages, , ,"9,469","9,808", , , , 
 Forbes LGA, Persons, 2016 and 2021*, 0-14, , , ,"2,085","1,841", , , 
 Forbes LGA, Persons, 2016 and 2021*, 15-44, , , ,"3,225","3,011", , , 
 Forbes LGA, Persons, 2016 and 2021*, 45-64, , , ,"2,434","2,187", , , 
 Forbes LGA, Persons, 2016 and 2021*, 65+, , , ,"2,064","2,252", , , 
 Forbes LGA, Persons, 2016 and 2021*, All ages, , , ,"9,808","9,291", , , 
 Forbes LGA, Persons, 2016 and 2026*, 0-14, , , ,"2,085", ,"1,741", , 
 Forbes LGA, Persons, 2016 and 2026*, 15-44, , , ,"3,225", ,"2,937", , 
 Forbes LGA, Persons, 2016 and 2026*, 45-64, , , ,"2,434", ,"2,022", , 
 Forbes LGA, Persons, 2016 and 2026*, 65+, , , ,"2,064", ,"2,398", , 
 Forbes LGA, Persons, 2016 and 2026*, All ages, , , ,"9,808", ,"9,098", , 
 Forbes LGA, Persons, 2016 and 2031*, 0-14, , , ,"2,085", , ,"1,663", 
 Forbes LGA, Persons, 2016 and 2031*, 15-44, , , ,"3,225", , ,"2,780", 
 Forbes LGA, Persons, 2016 and 2031*, 45-64, , , ,"2,434", , ,"1,899", 
 Forbes LGA, Persons, 2016 and 2031*, 65+, , , ,"2,064", , ,"2,508", 
 Forbes LGA, Persons, 2016 and 2031*, All ages, , , ,"9,808", , ,"8,850", 
 Forbes LGA, Persons, 2016 and 2036*, 0-14, , , ,"2,085", , , ,"1,582"
 Forbes LGA, Persons, 2016 and 2036*, 15-44, , , ,"3,225", , , ,"2,600"
 Forbes LGA, Persons, 2016 and 2036*, 45-64, , , ,"2,434", , , ,"1,837"
 Forbes LGA, Persons, 2016 and 2036*, 65+, , , ,"2,064", , , ,"2,533"
 Forbes LGA, Persons, 2016 and 2036*, All ages, , , ,"9,808", , , ,"8,551"
 Georges River LGA, Persons, 2001 and 2016, 0-14,"22,621", , ,"25,835", , , , 
 Georges River LGA, Persons, 2001 and 2016, 15-44,"55,267", , ,"67,954", , , , 
 Georges River LGA, Persons, 2001 and 2016, 45-64,"28,635", , ,"36,859", , , , 
 Georges River LGA, Persons, 2001 and 2016, 65+,"19,254", , ,"22,804", , , , 
 Georges River LGA, Persons, 2001 and 2016, All ages,"125,777", , ,"153,452", , , , 
 Georges River LGA, Persons, 2006 and 2016, 0-14, ,"23,292", ,"25,835", , , , 
 Georges River LGA, Persons, 2006 and 2016, 15-44, ,"56,662", ,"67,954", , , , 
 Georges River LGA, Persons, 2006 and 2016, 45-64, ,"31,217", ,"36,859", , , , 
 Georges River LGA, Persons, 2006 and 2016, 65+, ,"19,415", ,"22,804", , , , 
 Georges River LGA, Persons, 2006 and 2016, All ages, ,"130,586", ,"153,452", , , , 
 Georges River LGA, Persons, 2011 and 2016, 0-14, , ,"24,691","25,835", , , , 
 Georges River LGA, Persons, 2011 and 2016, 15-44, , ,"61,306","67,954", , , , 
 Georges River LGA, Persons, 2011 and 2016, 45-64, , ,"34,841","36,859", , , , 
 Georges River LGA, Persons, 2011 and 2016, 65+, , ,"20,888","22,804", , , , 
 Georges River LGA, Persons, 2011 and 2016, All ages, , ,"141,726","153,452", , , , 
 Georges River LGA, Persons, 2016 and 2021*, 0-14, , , ,"25,835","29,332", , , 
 Georges River LGA, Persons, 2016 and 2021*, 15-44, , , ,"67,954","65,282", , , 
 Georges River LGA, Persons, 2016 and 2021*, 45-64, , , ,"36,859","38,962", , , 
 Georges River LGA, Persons, 2016 and 2021*, 65+, , , ,"22,804","26,438", , , 
 Georges River LGA, Persons, 2016 and 2021*, All ages, , , ,"153,452","160,014", , , 
 Georges River LGA, Persons, 2016 and 2026*, 0-14, , , ,"25,835", ,"30,794", , 
 Georges River LGA, Persons, 2016 and 2026*, 15-44, , , ,"67,954", ,"66,509", , 
 Georges River LGA, Persons, 2016 and 2026*, 45-64, , , ,"36,859", ,"40,200", , 
 Georges River LGA, Persons, 2016 and 2026*, 65+, , , ,"22,804", ,"29,954", , 
 Georges River LGA, Persons, 2016 and 2026*, All ages, , , ,"153,452", ,"167,456", , 
 Georges River LGA, Persons, 2016 and 2031*, 0-14, , , ,"25,835", , ,"31,416", 
 Georges River LGA, Persons, 2016 and 2031*, 15-44, , , ,"67,954", , ,"67,722", 
 Georges River LGA, Persons, 2016 and 2031*, 45-64, , , ,"36,859", , ,"42,149", 
 Georges River LGA, Persons, 2016 and 2031*, 65+, , , ,"22,804", , ,"33,603", 
 Georges River LGA, Persons, 2016 and 2031*, All ages, , , ,"153,452", , ,"174,891", 
 Georges River LGA, Persons, 2016 and 2036*, 0-14, , , ,"25,835", , , ,"31,671"
 Georges River LGA, Persons, 2016 and 2036*, 15-44, , , ,"67,954", , , ,"69,425"
 Georges River LGA, Persons, 2016 and 2036*, 45-64, , , ,"36,859", , , ,"44,172"
 Georges River LGA, Persons, 2016 and 2036*, 65+, , , ,"22,804", , , ,"36,824"
 Georges River LGA, Persons, 2016 and 2036*, All ages, , , ,"153,452", , , ,"182,092"
 Gilgandra LGA, Persons, 2001 and 2016, 0-14,"1,115", , ,841, , , , 
 Gilgandra LGA, Persons, 2001 and 2016, 15-44,"1,693", , ,"1,333", , , , 
